"Please Upgrade To IOS11" = "براہ کرم IOS11 میں اپ گریڈ کریں";
"UPDATE NOW" = "اپ ڈیٹ کریں";
"Update Later (previously brutal refusal)" = "بعد میں اپ ڈیٹ کریں";
"Tap a star to rate on the App Store" = "سٹور کی درجہ بندی کرنے کے لئے ایک ستارہ تھپتھپائیں";
"Enjoying  easypaisa？" = "ایپ سے لطف اندوز";
"NOW" = "ابھی";
"CANCEL" = "واپس";
"Get Started" = "شروع کرین";
"Enter Your Mobile Number" = "اپنے موبائل فون کا نمبر درج کریں";
"NEXT" = "اگلے";
"Enter 5-Digit PIN" = " 5 ڈیجیٹل پن درج کریں ";
"LOGIN" = "لاگ ان کریں";
"FORGOT PIN?" = "";
"Enter Your CNIC Number" = "کمپیوٹرائزڈ قومی شناختی کارڈ نمبر درج کریں";
"Back" = "پیچھے";
"REGISTER" = "رجسٹر";
"Enter 5-Digit PIN" = "پانچ ڈیجیٹل پن درج کریں";
"Re-Enter 5-Digit PIN" = "   پانچ ڈائجٹ پن دوبارہ درج کریں";
"CREATE PIN" = "PIN تخلیق کریں";
"Allow Finger Print Login" = "انگلی پرنٹ لاگ ان کی اجازت دیں";
"Allow Face Recognition Login" = "چہرہ شناخت لاگ ان کی اجازت دیں";
"Enter Your Mobile Number" = "اپنے موبائل فون کا نمبر درج کریں";
"NEXT" = "اگلے";
"Enter Your CNIC Number" = "پنی CNIC نمبر درج کریں";
"Back" = "پیچھے";
"REGISTER" = "رجسٹر";
"Got an Invitation Code" = "ایک دعوت نامہ کوڈ درج کریں";
"Invitation Code" = "دعوت نامہ کوڈ";
"QR SCAN" = "QR اسکین";
"please wait while your OTP is auto fetched" = "براہ کرم انتظار کریں جب آپ کے او ٹی پی آٹو خود بخود ہو";
"OTP Auto Fetch failed,please try again" = "OTP آٹو آلے ناکام ہوگئی، براہ مہربانی دوبارہ کوشش کریں";
"CANCEL" = "واپس";
"RESEND" = "ایس ایم ایس دوبارہ بھیجیں";
"Enter 5-Digit PIN" = "پانچ ڈیجیٹل پن درج کریں";
"Re-Enter 5-Digit PIN" = "   پانچ ڈائجٹ پن دوبارہ درج کریں";
"CREATE PIN" = "پن بنائیں";
"Allow Finger Print Login" = "انگلی پرنٹ لاگ ان کی اجازت دیں";
